id,first_name,second_name,team,team_code,element_type,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
455,Maxime,Le Marchand,9,54,2,0,1,20,1620,42,116.0,430.0,73.0,1,278,62.2,0,0,2,0.1,42
456,Jean Michael,Seri,9,54,3,1,3,64,2049,50,788.2,436.6,139.0,6,388,136.6,2,0,6,1.4,49
460,Cyrus,Christie,9,54,2,0,0,27,1493,31,255.0,302.2,84.0,0,193,64.1,2,0,4,0.1,42
474,Fabricio,Agosto Ramírez,9,54,1,0,0,8,180,5,0.0,115.2,0.0,2,47,11.5,0,0,0,0.2,43
478,André,Schürrle,9,54,3,6,0,73,1609,43,305.4,356.2,462.0,2,254,111.7,2,0,2,2.5,55
480,Aleksandar,Mitrovic,9,54,4,10,3,108,2380,60,390.1,559.4,1175.0,12,326,212.8,2,0,6,14.0,65
487,Alfie,Mawson,9,54,2,0,0,18,1035,22,22.4,234.6,29.0,2,155,28.6,1,0,2,0.1,48
509,Sergio,Rico,9,54,1,0,0,48,1620,36,20.3,500.6,0.0,3,313,52.0,2,0,0,0.4,44
510,Joe,Bryan,9,54,2,0,1,27,1354,34,222.6,261.8,105.0,1,221,58.9,2,0,2,0.1,48
511,Timothy,Fosu-Mensah,9,54,2,0,0,4,564,15,88.3,73.8,28.0,0,68,18.9,0,0,3,0.3,45
512,André-Frank,Zambo Anguissa,9,54,3,0,0,16,681,18,56.6,133.0,45.0,0,103,23.5,0,1,0,0.1,44
513,Luciano,Vietto,9,54,4,1,4,44,941,20,293.7,202.2,340.0,4,163,83.3,1,0,1,0.5,53
521,Ibrahima,Cissé,9,54,3,0,0,4,86,4,2.1,11.6,0.0,0,16,1.4,0,0,0,0.1,43
541,Zeze Steven,Sessegnon,9,54,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
575,Ryan,Babel,9,54,3,1,2,18,397,11,87.8,79.4,126.0,0,68,29.3,0,0,2,0.4,55
593,Håvard,Nordtveit,9,54,2,0,0,1,90,3,0.3,25.6,0.0,0,15,2.6,0,0,0,0.0,45
594,Lazar,Markovic,9,54,3,0,0,1,45,1,13.0,6.2,4.0,0,3,2.3,0,0,0,0.0,50
146,Jason,Puncheon,10,38,3,0,0,14,369,6,66.6,34.0,35.0,0,46,13.6,1,0,1,1.5,42
190,Ben,Hamer,10,38,1,0,0,5,282,11,0.0,97.8,0.0,0,50,9.7,0,0,0,6.0,40
191,Jonas,Lössl,10,38,1,0,0,85,2237,39,20.3,620.2,0.0,6,449,63.9,5,0,0,1.8,44
192,Christopher,Schindler,10,38,2,1,1,67,2450,50,33.4,499.0,143.0,7,393,67.7,5,1,4,2.3,42
193,Chris,Löwe,10,38,2,0,2,38,1534,38,295.4,252.8,96.0,6,243,64.3,1,0,1,0.1,44
194,Tommy,Smith,10,38,2,0,0,4,556,19,45.8,83.0,14.0,0,75,14.3,1,1,2,0.1,44
195,Mathias,Jorgensen,10,38,2,3,1,66,2057,36,101.9,521.0,159.0,4,385,78.4,3,0,6,2.9,44
196,Scott,Malone,10,38,2,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.2,40
197,Florent,Hadergjonaj,10,38,2,0,0,49,1724,31,362.0,256.6,80.0,1,287,69.8,4,0,1,0.1,44
198,Terence,Kongolo,10,38,2,1,0,49,1906,41,109.0,360.0,115.0,3,297,58.4,4,0,3,0.2,43
199,Aaron,Mooy,10,38,3,2,0,52,1639,29,556.1,348.6,258.0,3,291,116.4,3,0,2,1.0,50
200,Rajiv,van La Parra,10,38,3,0,0,10,405,6,57.6,27.8,41.0,0,13,12.6,1,0,0,0.0,46
201,Jonathan,Hogg,10,38,3,0,1,43,1759,27,216.7,300.6,41.0,3,271,55.9,5,1,5,0.3,44
202,Philip,Billing,10,38,3,2,0,60,2017,38,325.7,476.6,336.0,4,301,114.0,5,0,6,1.4,45
203,Tom,Ince,10,38,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
204,Danny,Williams,10,38,3,0,0,4,83,0,1.1,5.0,1.0,0,6,0.6,1,0,1,0.0,45
205,Abdelhamid,Sabiri,10,38,3,0,0,2,48,3,0.5,4.2,2.0,0,6,0.7,0,0,0,0.0,43
206,Alex,Pritchard,10,38,3,1,0,48,1505,27,349.7,189.6,408.0,0,162,94.6,6,0,1,0.1,48
207,Ramadan,Sobhi,10,38,3,0,0,4,75,2,48.2,15.4,6.0,0,13,6.9,0,0,0,0.1,47
208,Juninho,Bacuna,10,38,3,0,0,16,651,18,135.0,113.6,37.0,0,87,28.6,0,0,2,0.4,42
209,Collin,Quaner,10,38,4,0,0,2,37,2,13.7,2.2,0.0,0,3,1.6,0,0,0,3.5,43
210,Laurent,Depoitre,10,38,4,0,1,34,1058,23,124.3,51.6,381.0,0,40,54.8,0,0,1,0.4,51
211,Steve,Mounie,10,38,4,2,4,58,1414,25,238.3,218.4,678.0,4,146,111.6,5,1,0,0.2,58
212,Elias,Kachunga,10,38,4,0,0,21,879,20,100.8,69.4,108.0,0,28,27.3,1,0,1,0.1,48
461,Erik,Durm,10,38,2,0,1,42,1306,22,166.3,190.6,103.0,2,209,46.0,3,0,0,0.1,44
471,Adama,Diakhaby,10,38,3,0,1,18,547,16,80.6,40.0,115.0,0,37,23.4,1,0,1,0.0,45
514,Isaac,Mbenza,10,38,3,0,1,24,586,13,69.7,59.0,134.0,0,82,25.9,0,0,1,0.0,59
522,Jon Gorenc,Stankovic,10,38,2,1,0,13,172,6,1.6,68.8,52.0,1,52,12.3,1,0,0,2.8,39
533,Ryan,Schofield,10,38,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
585,Karlan,Grant,10,38,4,0,1,7,120,2,36.6,7.4,64.0,0,20,10.8,1,0,0,0.0,50
598,Joel,Coleman,10,38,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
